year,sop,sos,tr,cop,cos,bcie,tcae,ifoi,gaae,rade,glod,efo,oi,iade,ebit,ite,ne,beps,deps
2018,90229,10898,101127,-72922,-8499,-69,-81490,111,-4567,-3269,75,11987,92,-475,11507,-1144,10460,18.05,17.85
2017,83740,10265,94005,-68879,-7663,-70,-76612,204,-4095,-3719,21,10344,123,-360,10107,-1649,8459,14.03,13.85
2016,83198,10298,93496,-71013,-7954,-59,-79026,303,-3613,-4626,-7,6527,-438,-306,5783,-749,5034,7.92,7.83